Group Count: 52
No Type Group Count: 0
Total Vertex Count: 5394
Total Face Count: 4857

Group Type: map_room
Group Id: 0
data: -1
data: -1

Vertex List:
Vertex Count: 146

0:    1.554998, -0.750000, -14.377936
1:    1.554997, 6.250001, -14.377940
2:    -14.445004, -0.750001, -20.777945
3:    -14.445004, 6.250000, -20.777945
4:    1.554996, -0.750000, 4.822049
5:    -14.445005, -0.750001, 4.822048
6:    -14.445006, 6.249997, 4.822048
7:    1.554996, 6.250001, 4.822049
8:    -1.645004, -0.750000, 4.822049
9:    -1.645005, 6.250001, 4.822049
10:   -1.645003, 6.250001, -14.377940
11:   -1.645002, -0.750000, -14.377940
12:   -4.845004, -0.750000, 4.822049
13:   -4.845005, 6.250000, 4.822049
14:   -4.845003, 6.250000, -20.777943
15:   -4.845002, -0.750000, -20.777943
16:   -8.045004, -0.750001, 4.822048
17:   -8.045005, 6.250000, 4.822048
18:   -8.045002, 6.250000, -20.777943
19:   -11.245006, -0.750001, 4.822048
20:   -11.245007, 6.250000, 4.822048
21:   -11.245004, 6.250000, -20.777945
22:   -14.445004, -0.750001, -1.577953
23:   -14.445005, 6.249997, -1.577953
24:   -11.245006, 6.250000, -1.577952
25:   -8.045004, 6.250000, -1.577952
26:   -4.845004, 6.250000, -1.577952
27:   -1.645004, 6.250001, -1.577951
28:   1.554996, 6.250001, -1.577951
29:   1.554997, -0.750000, -1.577951
30:   -1.645003, -0.750000, -1.577951
31:   -4.845004, -0.750000, -1.577952
32:   -8.045003, -0.750001, -1.577952
33:   -11.245005, -0.750001, -1.577952
34:   -14.445004, -0.750001, -4.777953
35:   -14.445005, 6.249997, -4.777953
36:   -11.245006, 6.250000, -4.777953
37:   -8.045004, 6.250000, -4.777952
38:   -4.845004, 6.250000, -4.777952
39:   -1.645004, 6.250001, -4.777952
40:   1.554996, 6.250001, -4.777951
41:   1.554997, -0.750000, -4.777951
42:   -1.645003, -0.750000, -4.777952
43:   -4.845003, -0.750000, -4.777952
44:   -8.045003, -0.750001, -4.777952
45:   -11.245005, -0.750001, -4.777953
46:   -14.445004, -0.750001, -7.977951
47:   -14.445004, 6.249997, -7.977951
48:   -11.245005, 6.250000, -7.977951
49:   -8.045003, 6.250000, -7.977951
50:   -4.845004, 6.250000, -7.977950
51:   -1.645003, 6.250001, -7.977950
52:   1.554997, 6.250001, -7.977950
53:   1.554997, -0.750000, -7.977950
54:   -1.645003, -0.750000, -7.977950
55:   -4.845003, -0.750000, -7.977950
56:   -8.045003, -0.750001, -7.977951
57:   -11.245005, -0.750001, -7.977951
58:   -14.445004, -0.750001, -11.177949
59:   -14.445004, 6.249997, -11.177949
60:   -11.245005, 6.250000, -11.177948
61:   -8.045003, 6.250000, -11.177948
62:   -4.845003, 6.250000, -11.177948
63:   -1.645003, 6.250001, -11.177947
64:   1.554997, 6.250001, -11.177947
65:   1.554998, -0.750000, -11.177947
66:   -1.645002, -0.750000, -11.177947
67:   -4.845003, -0.750000, -11.177948
68:   -8.045002, -0.750001, -11.177948
69:   -11.245004, -0.750001, -11.177948
70:   -14.445004, -0.750001, -14.377942
71:   -14.445004, 6.249997, -14.377942
72:   -11.245005, 6.250000, -14.377941
73:   -8.045003, 6.250000, -14.377941
74:   -4.845003, 6.250000, -14.377941
75:   -4.845002, -0.750000, -14.377941
76:   -8.045002, -0.750001, -14.377941
77:   -11.245004, -0.750001, -14.377941
78:   -14.445004, -0.750001, -17.577944
79:   -14.445004, 6.249997, -17.577944
80:   -11.245005, 6.250000, -17.577944
81:   -8.045003, 6.250000, -17.577942
82:   -4.845003, 6.250000, -17.577942
83:   -4.845002, -0.750000, -17.577942
84:   -8.045002, -0.750001, -17.577942
85:   -11.245004, -0.750001, -17.577944
86:   -4.845002, 4.750000, -20.777943
87:   -14.445004, 4.749999, -20.777945
88:   -14.445004, 4.749999, -17.577944
89:   -14.445004, 4.749999, -14.377942
90:   -14.445004, 4.749999, -11.177949
91:   -14.445004, 4.749999, -7.977951
92:   -14.445005, 4.749999, -4.777953
93:   -14.445005, 4.749999, -1.577953
94:   -14.445005, 4.749999, 4.822048
95:   -11.245006, 4.749999, 4.822048
96:   -8.045004, 4.750000, 4.822048
97:   -4.845005, 4.750000, 4.822049
98:   -1.645004, 4.750000, 4.822049
99:   1.554996, 4.750000, 4.822049
100:  1.554996, 4.750000, -1.577951
101:  1.554996, 4.750000, -4.777951
102:  1.554997, 4.750000, -7.977950
103:  1.554997, 4.750000, -11.177947
104:  1.554997, 4.750000, -14.377940
105:  -1.645003, 4.750000, -14.377940
106:  -4.845003, 4.750000, -14.377941
107:  -4.845003, 4.750000, -17.577942
108:  -11.745004, 5.249999, -20.577942
109:  -7.545002, 5.249999, -20.577942
110:  -7.545002, -0.750001, -20.577942
111:  -11.745004, -0.750001, -20.577942
112:  -7.545002, -0.750001, -20.777943
113:  -7.545002, 5.249999, -20.777943
114:  -11.745004, 5.249999, -20.777943
115:  -11.745004, -0.750001, -20.777943
116:  -11.745004, 4.749999, -20.777943
117:  -11.745004, 4.749999, -20.577942
118:  -7.545002, 4.750000, -20.577942
119:  -7.545002, 4.750000, -20.777943
120:  -11.245004, -0.750001, -20.777945
121:  -11.245004, 4.749999, -20.777945
122:  -11.245004, 5.249999, -20.577944
123:  -11.245004, 5.249999, -20.777945
124:  -8.045002, 5.249999, -20.777943
125:  -8.045002, 5.249999, -20.577942
126:  -8.045002, 4.750000, -20.777943
127:  -8.045002, -0.750001, -20.777943
128:  -8.045002, 4.750000, -20.577942
129:  -11.245004, 4.749999, -20.577944
130:  -11.245004, -0.750001, -20.577944
131:  -8.045002, -0.750001, -20.577942
132:  -14.445005, 6.249997, 1.622047
133:  -14.445005, 4.749999, 1.622047
134:  -14.445005, -0.750001, 1.622047
135:  -11.245006, -0.750001, 1.622048
136:  -8.045004, -0.750001, 1.622048
137:  -4.845004, -0.750000, 1.622048
138:  -1.645004, -0.750000, 1.622049
139:  1.554996, -0.750000, 1.622049
140:  1.554996, 4.750000, 1.622049
141:  1.554996, 6.250001, 1.622049
142:  -1.645004, 6.250001, 1.622049
143:  -4.845005, 6.250000, 1.622048
144:  -8.045004, 6.250000, 1.622048
145:  -11.245006, 6.250000, 1.622048

Face List:
Face Count: 138
    1 Face:
      Collision Type: no_type
      Vertex Count: 4
      vIndex: 121, 87, 3, 21
      UV: u:0.083333, v:1.000000
      UV: u:0.125000, v:0.000000
      UV: u:0.125000, v:1.000000
      UV: u:0.083333, v:1.000000
      tIndex: 0, name: (null)
    2 Face:
      Collision Type: map_floor
      Vertex Count: 4
      vIndex: 85, 78, 2, 120
      UV: u:0.875000, v:0.500000
      UV: u:0.000000, v:0.500000
      UV: u:0.750000, v:1.000000
      UV: u:0.875000, v:1.000000
      tIndex: 0, name: (null)
    3 Face:
      Collision Type: no_type
      Vertex Count: 4
      vIndex: 87, 88, 79, 3
      UV: u:0.125000, v:1.000000
      UV: u:0.166667, v:0.000000
      UV: u:0.125000, v:0.500000
      UV: u:0.125000, v:1.000000
      tIndex: 0, name: (null)
