26, 89, 16384, 16383
161, 103, 16504, 16383
178, 103, 16456, 16383
183, 103, 16451, 16383
897, 89, 16620, 16383
181, 103, 16454, 16383
9, 79, 16384, 16383
25, 76, 8192, 8191
63, 75, 16384, 16383
8, 117, 16384, 16383
255, 8, 16506, 16383
771, 89, 16384, 16383
247, 43, 8252, 8191
776, 89, 16443, 16383
774, 89, 16485, 16383
43, 73, 8192, 8191
62, 75, 16384, 16383
773, 89, 16413, 16383
785, 89, 16384, 16383
77, 74, 4125, 4095
80, 74, 4125, 4095
925, 6, 32941, 32767
937, 4, 32768, 32767
941, 7, 32919, 32767
943, 4, 32818, 32767
928, 3, 32773, 32767
929, 3, 32896, 32767
935, 7, 32801, 32767
924, 6, 32818, 32767
158, 103, 16508, 16383
54, 68, 16456, 16383
64, 69, 8299, 8191
86, 67, 8192, 8191
71, 66, 8192, 8191
486, 51, 2048, 2047
52, 68, 16428, 16383
827, 5, 32878, 32767
122, 113, 8192, 8191
68, 66, 8193, 8191
78, 65, 8307, 8191
75, 78, 8304, 8191
837, 25, 16384, 16383
88, 43, 8254, 8191
244, 43, 8250, 8191
240, 43, 8251, 8191
196, 105, 5248, 5247
200, 105, 5248, 5247
159, 103, 16384, 16383
132, 103, 16470, 16383
297, 120, 2048, 2047
749, 115, 4159, 4095
256, 8, 16487, 16383
821, 9, 32897, 32767
811, 9, 32794, 32767
245, 43, 8247, 8191
282, 112, 8202, 8191
153, 105, 5248, 5247
150, 105, 5248, 5247
49, 72, 16384, 16383
76, 74, 4127, 4095
818, 10, 4096, 4095
466, 94, 2048, 2047
828, 10, 4096, 4095
93, 13, 2079, 2047
831, 11, 16385, 16383
73, 74, 4127, 4095
241, 43, 8236, 8191
69, 74, 4096, 4095
27, 89, 16503, 16383
154, 103, 16384, 16383
37, 74, 4096, 4095
182, 103, 16433, 16383
243, 43, 8250, 8191
475, 93, 2079, 2047
901, 89, 16502, 16383
741, 96, 2048, 2047
898, 89, 16512, 16383
33, 80, 4096, 4095
65, 69, 8288, 8191
817, 5, 32988, 32767
885, 23, 16384, 16383
813, 23, 16630, 16383
952, 33, 32841, 32767
265, 41, 16487, 16383
958, 33, 32902, 32767
946, 33, 32769, 32767
89, 43, 8192, 8191
959, 33, 32976, 32767
977, 34, 32902, 32767
976, 34, 32837, 32767
113, 106, 8319, 8191
823, 23, 16512, 16383
970, 34, 32769, 32767
907, 36, 8192, 8191
137, 103, 16444, 16383
134, 103, 16484, 16383
133, 103, 16384, 16383
221, 108, 8192, 8191
136, 103, 16480, 16383
202, 107, 8192, 8191
896, 89, 16492, 16383
225, 108, 8192, 8191
206, 107, 8192, 8191
840, 81, 4097, 4095
266, 39, 8192, 8191
783, 89, 16441, 16383
527, 91, 2078, 2047
38, 17, 4096, 4095
99, 55, 2048, 2047
904, 89, 16410, 16383
100, 55, 2048, 2047
102, 55, 2048, 2047
464, 94, 2048, 2047
531, 50, 2048, 2047
526, 91, 2078, 2047
538, 95, 2048, 2047
32, 80, 4096, 4095
514, 81, 4096, 4095
35, 74, 4096, 4095
868, 23, 16384, 16383
822, 25, 16384, 16383
61, 70, 8192, 8191
83, 67, 8192, 8191
795, 17, 4096, 4095
1, 87, 8192, 8191
911, 36, 8268, 8191
812, 25, 16456, 16383
916, 36, 8234, 8191
953, 31, 32892, 32767
960, 31, 32954, 32767
836, 23, 16460, 16383
961, 31, 33013, 32767
978, 32, 32892, 32767
979, 32, 32954, 32767
884, 25, 16495, 16383
982, 26, 16385, 16383
204, 107, 8314, 8191
926, 1, 32768, 32767
936, 2, 32891, 32767
997, 110, 8255, 8191
927, 1, 32894, 32767
942, 2, 32769, 32767
895, 89, 16497, 16383
58, 75, 16510, 16383
41, 73, 8192, 8191
826, 3, 32769, 32767
816, 3, 32896, 32767
47, 71, 16384, 16383
496, 54, 2053, 2047
60, 70, 8204, 8191
42, 70, 8195, 8191
815, 7, 32991, 32767
736, 114, 8193, 8191
999, 110, 8254, 8191
995, 109, 4159, 4095
264, 41, 16392, 16383
257, 8, 16490, 16383
996, 110, 8246, 8191
988, 109, 4099, 4095
130, 103, 16490, 16383
701, 114, 8214, 8191
1000, 110, 8238, 8191
780, 89, 16384, 16383
491, 51, 2048, 2047
259, 8, 16384, 16383
219, 108, 8192, 8191
194, 105, 5375, 5247
11, 76, 8192, 8191
59, 75, 16384, 16383
222, 108, 8320, 8191
894, 89, 16621, 16383
201, 105, 5248, 5247
198, 105, 5248, 5247
185, 103, 16509, 16383
214, 109, 4159, 4095
155, 103, 16511, 16383
217, 109, 4096, 4095
96, 10, 4096, 4095
489, 87, 8192, 8191
57, 70, 8297, 8191
520, 83, 2079, 2047
905, 89, 16385, 16383
179, 103, 16441, 16383
195, 105, 5248, 5247
66, 69, 8280, 8191
67, 69, 8264, 8191
962, 23, 16384, 16383
967, 19, 16384, 16383
852, 25, 16605, 16383
985, 20, 16636, 16383
980, 24, 16631, 16383
223, 108, 8262, 8191
115, 112, 8225, 8191
779, 89, 16425, 16383
903, 89, 16385, 16383
131, 103, 16395, 16383
740, 114, 8194, 8191
129, 114, 8192, 8191
824, 7, 32771, 32767
218, 108, 8192, 8191
184, 103, 16448, 16383
157, 103, 16454, 16383
101, 12, 2079, 2047
103, 12, 2079, 2047
160, 103, 16478, 16383
735, 114, 8192, 8191
29, 114, 8192, 8191
738, 96, 2048, 2047
267, 40, 8192, 8191
109, 18, 2048, 2047
254, 8, 16509, 16383
177, 105, 5362, 5247
917, 36, 8192, 8191
114, 113, 8192, 8191
2, 114, 8192, 8191
1002, 110, 8228, 8191
283, 113, 8231, 8191
124, 114, 8315, 8191
488, 87, 8192, 8191
146, 105, 5248, 5247
46, 70, 8192, 8191
814, 7, 33024, 32767
671, 53, 2048, 2047
909, 35, 8192, 8191
908, 36, 8192, 8191
906, 35, 8192, 8191
951, 21, 16384, 16383
949, 25, 16384, 16383
975, 22, 16384, 16383
112, 106, 8192, 8191
149, 105, 5248, 5247
463, 94, 2048, 2047
467, 94, 2048, 2047
479, 93, 2048, 2047
180, 103, 16479, 16383
900, 89, 16497, 16383
819, 10, 4096, 4095
829, 10, 4096, 4095
862, 11, 16384, 16383
846, 11, 16384, 16383
825, 7, 32886, 32767
174, 105, 5248, 5247
483, 95, 2048, 2047
94, 97, 2052, 2047
855, 81, 4096, 4095
516, 81, 4096, 4095
919, 36, 8221, 8191
465, 94, 2048, 2047
0, 88, 8192, 8191
224, 108, 8192, 8191
28, 114, 8251, 8191
987, 22, 16508, 16383
693, 38, 8192, 8191
971, 32, 32829, 32767
947, 31, 32827, 32767
499, 54, 2065, 2047
899, 89, 16510, 16383
730, 114, 8193, 8191
36, 80, 4096, 4095
691, 38, 8192, 8191
305, 112, 8243, 8191
199, 105, 5248, 5247
697, 114, 8199, 8191
497, 55, 2048, 2047
504, 54, 2075, 2047
536, 50, 2048, 2047
492, 55, 2048, 2047
