51.245,-38.875,-1.754
48.045,-38.875,-1.754
44.845,-38.875,-1.754
41.645,-38.875,-1.754
38.445,-38.875,-1.754
35.245,-38.875,-1.754
32.045,-38.875,-1.754
29.095,-38.875,-1.754
25.645,-38.875,-1.754
22.445,-38.875,-1.754
22.445,-42.077,-1.754
22.445,-45.277,-1.754
22.445,-48.477,-1.754
22.445,-51.678,-1.754
22.445,-54.878,-1.754
22.445,-58.078,-1.754
22.445,-61.278,-1.754
19.245,-61.278,-1.754
15.795,-61.278,-1.754
12.845,-61.278,-1.754
9.645,-61.278,-1.754
6.445,-61.278,-1.754
3.245,-61.278,-1.754
0.045,-61.278,-1.754
-3.155,-61.278,-1.754
-6.355,-61.278,-1.754
-9.805,-61.278,-1.754
-12.755,-61.278,-1.754
-15.955,-61.278,-1.754
-15.955,-58.078,-1.754
-15.955,-54.878,-1.754
-15.955,-51.678,-1.754
-15.955,-48.478,-1.754
-15.955,-45.278,-1.754
-15.955,-42.078,-1.754
-15.955,-38.878,-1.754
-15.955,-35.678,-1.754
-15.955,-32.728,-1.754
-15.955,-29.278,-1.754
-15.955,-26.078,-1.754
-15.955,-26.078,-1.754
-12.755,-26.078,-1.754
-9.555,-26.078,-1.754
-6.355,-26.078,-1.754
-3.155,-26.078,-1.754
0.045,-26.078,-1.754
3.245,-26.078,-1.754
6.445,-26.078,-1.754
9.645,-26.078,-1.754
12.845,-26.078,-1.754
16.045,-26.078,-1.754
19.245,-26.078,-1.754
22.445,-26.078,-1.754
25.645,-26.078,-1.754
29.095,-26.078,-1.754
32.045,-26.078,-1.754
35.245,-26.078,-1.754
38.445,-26.078,-1.754
41.645,-26.078,-1.754
44.845,-26.078,-1.754
48.045,-26.078,-1.754
51.245,-26.078,-1.754
